Date,Open,High,Low,Close,Volume
2025-02-10,11.020000457763672,11.020000457763672,10.864999771118164,10.869999885559082,3973900
2025-02-11,10.800000190734863,10.899999618530273,10.704999923706055,10.869999885559082,2966600
2025-02-12,10.779999732971191,10.989999771118164,10.710000038146973,10.880000114440918,4083100
2025-02-13,10.930000305175781,10.989999771118164,10.850000381469727,10.9399995803833,3312800
2025-02-14,10.949999809265137,10.960000038146973,10.739999771118164,10.75,2578800
2025-02-18,10.75,10.880000114440918,10.6899995803833,10.760000228881836,3577200
2025-02-19,10.760000228881836,10.760000228881836,10.539999961853027,10.579999923706055,4545900
2025-02-20,10.5600004196167,10.609999656677246,10.390000343322754,10.569999694824219,5131400
2025-02-21,10.609999656677246,10.645000457763672,10.390000343322754,10.430000305175781,3176600
2025-02-24,10.5600004196167,10.5600004196167,10.210000038146973,10.229999542236328,5309500
2025-02-25,10.199999809265137,10.34000015258789,10.140000343322754,10.300000190734863,6160500
2025-02-26,10.670000076293945,10.789999961853027,10.029999732971191,10.3100004196167,10479200
2025-02-27,10.390000343322754,10.569999694824219,10.300000190734863,10.430000305175781,5769000
2025-02-28,10.239999771118164,10.420000076293945,10.149999618530273,10.1899995803833,23160200
2025-03-03,10.199999809265137,10.25,10.020000457763672,10.039999961853027,9712100
2025-03-04,10.09000015258789,10.09000015258789,9.654999732971191,9.65999984741211,12204300
2025-03-05,9.59000015258789,9.760000228881836,9.460000038146973,9.720000267028809,16249700
2025-03-06,9.619999885559082,9.640000343322754,9.350000381469727,9.350000381469727,12636400
2025-03-07,9.319999694824219,9.350000381469727,8.984999656677246,9.289999961853027,13509700
2025-03-10,9.180000305175781,9.25,8.970000267028809,9.0600004196167,13241200
2025-03-11,9.149999618530273,9.210000038146973,8.824999809265137,9.199999809265137,11679100
2025-03-12,9.34000015258789,9.350000381469727,9.090999603271484,9.130000114440918,12998800
2025-03-13,9.079999923706055,9.3100004196167,9.041999816894531,9.210000038146973,10182300
2025-03-14,9.329999923706055,9.420000076293945,9.25,9.319999694824219,12027600
2025-03-17,9.300000190734863,9.46500015258789,9.260000228881836,9.399999618530273,6941400
2025-03-18,9.359999656677246,9.390000343322754,9.194999694824219,9.260000228881836,7381500
2025-03-19,9.260000228881836,9.277000427246094,9.03499984741211,9.1899995803833,16318500
2025-03-20,9.140000343322754,9.15999984741211,8.979999542236328,9.050000190734863,8695000
2025-03-21,9.005000114440918,9.069999694824219,8.940999984741211,9.0,11209900
2025-03-24,9.020000457763672,9.244999885559082,9.020000457763672,9.149999618530273,6481200
2025-03-25,9.149999618530273,9.28499984741211,9.119999885559082,9.1899995803833,8214500
2025-03-26,9.220000267028809,9.380000114440918,9.079999923706055,9.109999656677246,6743700
2025-03-27,9.119999885559082,9.199999809265137,8.970999717712402,9.069999694824219,5082100
2025-03-28,9.029999732971191,9.289999961853027,8.829999923706055,8.920000076293945,7814700
2025-03-31,8.859999656677246,9.104999542236328,8.680000305175781,9.029999732971191,7730900
2025-04-01,9.029999732971191,9.08899974822998,8.930000305175781,9.0600004196167,8402800
2025-04-02,8.949999809265137,9.039999961853027,8.770000457763672,8.829999923706055,10030800
2025-04-03,8.649999618530273,8.720000267028809,8.430000305175781,8.59000015258789,13294000
2025-04-04,8.5,8.635000228881836,8.244999885559082,8.520000457763672,16814600
2025-04-07,8.170000076293945,8.829999923706055,8.140000343322754,8.460000038146973,13866900
2025-04-08,8.630000114440918,8.710000038146973,8.180000305175781,8.279999732971191,23013600
2025-04-09,8.260000228881836,9.050000190734863,8.21500015258789,9.020000457763672,9776000
2025-04-10,8.829999923706055,8.960000038146973,8.65999984741211,8.8100004196167,8348100
2025-04-11,8.789999961853027,9.0,8.654999732971191,8.989999771118164,6643200
2025-04-14,9.140000343322754,9.140000343322754,8.819999694824219,8.930000305175781,6569500
2025-04-15,8.9399995803833,8.979999542236328,8.8100004196167,8.84000015258789,4457100
2025-04-16,8.819999694824219,8.930000305175781,8.6899995803833,8.770000457763672,8541700
2025-04-17,8.800000190734863,8.875,8.640000343322754,8.670000076293945,5520900
2025-04-21,8.600000381469727,8.675000190734863,8.3100004196167,8.460000038146973,7229700
2025-04-22,8.479999542236328,8.619999885559082,8.4350004196167,8.609999656677246,5549100
2025-04-23,8.84000015258789,9.039999961853027,8.734999656677246,8.829999923706055,4470000
2025-04-24,8.890000343322754,9.010000228881836,8.84000015258789,8.989999771118164,3525200
2025-04-25,8.960000038146973,9.0,8.869999885559082,8.970000267028809,4053100
2025-04-28,8.970000267028809,9.020000457763672,8.859999656677246,8.989999771118164,3273800
2025-04-29,9.029999732971191,9.350000381469727,9.005000114440918,9.329999923706055,5345900
2025-04-30,9.1899995803833,9.279999732971191,9.09000015258789,9.260000228881836,6297600
2025-05-01,9.350000381469727,9.369999885559082,9.164999961853027,9.180000305175781,4551500
2025-05-02,9.260000228881836,9.369999885559082,9.1899995803833,9.260000228881836,4302300
2025-05-05,9.199999809265137,9.354999542236328,9.119999885559082,9.1899995803833,6690900
2025-05-06,8.9399995803833,9.0,8.199999809265137,8.295000076293945,14242500
2025-05-07,8.40999984741211,8.979999542236328,8.40999984741211,8.954999923706055,10282700
2025-05-08,8.920000076293945,9.020000457763672,8.8100004196167,8.9350004196167,7451600
2025-05-09,8.920000076293945,9.069999694824219,8.864999771118164,9.010000228881836,5077400
2025-05-12,9.210000038146973,9.319999694824219,9.039999961853027,9.09000015258789,5329100
2025-05-13,9.079999923706055,9.149999618530273,9.005000114440918,9.050000190734863,5584400
2025-05-14,9.020000457763672,9.109999656677246,8.989999771118164,9.029999732971191,5609900
2025-05-15,8.979999542236328,9.015000343322754,8.760000228881836,8.975000381469727,7026300
2025-05-16,9.180000305175781,9.21500015258789,9.015000343322754,9.119999885559082,6274000
2025-05-19,9.0600004196167,9.1899995803833,9.020000457763672,9.149999618530273,4820100
2025-05-20,9.100000381469727,9.260000228881836,9.0600004196167,9.229999542236328,6434400
2025-05-21,8.75,8.8100004196167,8.550000190734863,8.65999984741211,21903600
2025-05-22,8.670000076293945,8.850000381469727,8.65999984741211,8.800000190734863,10319900
2025-05-23,8.664999961853027,8.710000038146973,8.444999694824219,8.470000267028809,8636900
2025-05-27,8.539999961853027,8.8100004196167,8.40999984741211,8.779999732971191,12496600
2025-05-28,8.800000190734863,8.890000343322754,8.65999984741211,8.680000305175781,7547400
2025-05-29,8.739999771118164,8.770000457763672,8.609999656677246,8.760000228881836,8819200
2025-05-30,8.760000228881836,8.845000267028809,8.725000381469727,8.779999732971191,8042500
2025-06-02,8.75,8.880000114440918,8.529999732971191,8.859999656677246,13058800
2025-06-03,8.829999923706055,9.0,8.800000190734863,8.8100004196167,11248800
2025-06-04,8.829999923706055,9.0,8.805000305175781,8.859999656677246,10212500
2025-06-05,8.850000381469727,9.0,8.845000267028809,8.920000076293945,9363900
2025-06-06,8.989999771118164,9.149999618530273,8.930999755859375,8.989999771118164,9510500
2025-06-09,9.079999923706055,9.109999656677246,8.854999542236328,9.029999732971191,11309300
2025-06-10,9.010000228881836,9.178999900817871,9.010000228881836,9.079999923706055,12281500
2025-06-11,9.050000190734863,9.170000076293945,8.84000015258789,9.079999923706055,13131800
2025-06-12,9.050000190734863,9.050000190734863,8.90999984741211,8.930000305175781,6508600
2025-06-13,8.869999885559082,8.979999542236328,8.78499984741211,8.800000190734863,7065600
2025-06-16,8.8100004196167,8.90999984741211,8.779999732971191,8.899999618530273,6358800
2025-06-17,8.850000381469727,9.119999885559082,8.819999694824219,9.09000015258789,10541800
2025-06-18,9.069999694824219,9.444999694824219,9.069999694824219,9.420000076293945,10588100
2025-06-20,9.484999656677246,9.609999656677246,9.3100004196167,9.34000015258789,12075300
2025-06-23,9.1899995803833,9.335000038146973,9.069999694824219,9.220000267028809,12708600
2025-06-24,9.300000190734863,9.475000381469727,9.25,9.329999923706055,9662500
2025-06-25,9.390000343322754,9.550000190734863,9.130000114440918,9.170000076293945,6986800
2025-06-26,9.260000228881836,9.350000381469727,9.1850004196167,9.3100004196167,5862100
2025-06-27,9.385000228881836,9.635000228881836,9.329999923706055,9.40999984741211,13262900
2025-06-30,9.449999809265137,9.569999694824219,9.335000038146973,9.40999984741211,6992400
2025-07-01,9.380000114440918,9.430000305175781,9.164999961853027,9.399999618530273,8829400
2025-07-02,9.399999618530273,9.640000343322754,9.220000267028809,9.609999656677246,9477600
2025-07-03,9.670000076293945,9.829999923706055,9.623000144958496,9.75,4449000
2025-07-07,9.699999809265137,9.84000015258789,9.635000228881836,9.699999809265137,6824300
2025-07-08,9.699999809265137,9.789999961853027,9.649999618530273,9.710000038146973,4455000
2025-07-09,9.729999542236328,9.829999923706055,9.670000076293945,9.760000228881836,4184600
2025-07-10,9.75,9.845000267028809,9.5600004196167,9.75,5413800
2025-07-11,9.699999809265137,9.710000038146973,9.529999732971191,9.539999961853027,3847800
2025-07-14,9.510000228881836,9.6899995803833,9.479999542236328,9.609999656677246,4128400
2025-07-15,9.640000343322754,9.65999984741211,9.420000076293945,9.4399995803833,3174600
2025-07-16,9.529999732971191,9.58899974822998,9.399999618530273,9.539999961853027,4346600
2025-07-17,9.569999694824219,9.914999961853027,9.529999732971191,9.84000015258789,6130400
2025-07-18,9.869999885559082,9.90999984741211,9.720000267028809,9.760000228881836,4049000
